__file,__sheet,机房,设备,total_series,anomaly_series,max_knn,anomaly_ratio
1-J301电池室放电电池数据表.xlsx,DC10,咸阳秦都西咸数据中心1号楼J301电力电池机房,10#开关电源蓄电池组,2,1,3.438687511543404,0.5
1-J301电池室放电电池数据表.xlsx,DC9,咸阳秦都西咸数据中心1号楼J301电力电池机房,09#开关电源蓄电池组,2,1,2.6524990110306366,0.5
1-D203电池室放电电池数据表.xlsx,DC2,咸阳秦都西咸数据中心1号楼D203电力电池机房,2#开关电源蓄电池组,2,1,2.192823125743371,0.5
2-J301电池室放电电池数据表.xlsx,DC1,咸阳秦都西咸数据中心2号楼J301电力电池机房,01#开关电源蓄电池组,2,0,1.979132513700469,0.0
1-D203电池室放电电池数据表.xlsx,DC5,咸阳秦都西咸数据中心1号楼D203电力电池机房,5#开关电源蓄电池组,2,0,1.9325102976878867,0.0
1-J301电池室放电电池数据表.xlsx,DC11,咸阳秦都西咸数据中心1号楼J301电力电池机房,11#开关电源蓄电池组,2,0,1.8432296847255003,0.0
1-J301电池室放电电池数据表.xlsx,DC8,咸阳秦都西咸数据中心1号楼J301电力电池机房,08#开关电源蓄电池组,2,0,1.7312836253171504,0.0
1-J301电池室放电电池数据表.xlsx,DC4,咸阳秦都西咸数据中心1号楼J301电力电池机房,04#开关电源蓄电池组,2,0,1.5420454157689112,0.0
1-J301电池室放电电池数据表.xlsx,DC5,咸阳秦都西咸数据中心1号楼J301电力电池机房,05#开关电源蓄电池组,2,0,1.4507896510546985,0.0
1-J301电池室放电电池数据表.xlsx,DC1,咸阳秦都西咸数据中心1号楼J301电力电池机房,01#开关电源蓄电池组,2,0,1.1728543445487074,0.0
1-J301电池室放电电池数据表.xlsx,DC3,咸阳秦都西咸数据中心1号楼J301电力电池机房,03#开关电源蓄电池组,2,0,1.0962608141695167,0.0
1-J301电池室放电电池数据表.xlsx,DC2,咸阳秦都西咸数据中心1号楼J301电力电池机房,02#开关电源蓄电池组,2,0,1.0755221959912362,0.0
1-D203电池室放电电池数据表.xlsx,DC6,咸阳秦都西咸数据中心1号楼D203电力电池机房,6#开关电源蓄电池组,2,0,0.9850365159310467,0.0
1-D201电池室放电电池数据表.xlsx,DC2,咸阳秦都西咸数据中心1号楼D201电力电池机房,2#开关电源蓄电池组,2,0,0.9084719055817491,0.0
1-D203电池室放电电池数据表.xlsx,DC4,咸阳秦都西咸数据中心1号楼D203电力电池机房,4#开关电源蓄电池组,2,0,0.8955348101849383,0.0
1-J301电池室放电电池数据表.xlsx,DC13,咸阳秦都西咸数据中心1号楼J301电力电池机房,13#开关电源蓄电池组,2,0,0.8700258485953051,0.0
1-D203电池室放电电池数据表.xlsx,DC3,咸阳秦都西咸数据中心1号楼D203电力电池机房,3#开关电源蓄电池组,2,0,0.8090096188607172,0.0
1-D303电池室放电电池数据表.xlsx,DC5,咸阳秦都西咸数据中心1号楼D303电力电池机房,5#开关电源蓄电池组,2,0,0.7631246487913047,0.0
1-J301电池室放电电池数据表.xlsx,DC12,咸阳秦都西咸数据中心1号楼J301电力电池机房,12#开关电源蓄电池组,2,0,0.7322407173820209,0.0
1-D201电池室放电电池数据表.xlsx,DC4,咸阳秦都西咸数据中心1号楼D201电力电池机房,4#开关电源蓄电池组,2,0,0.6415735691318318,0.0
1-D303电池室放电电池数据表.xlsx,DC8,咸阳秦都西咸数据中心1号楼D303电力电池机房,8#开关电源蓄电池组,2,0,0.6213093175050581,0.0
1-D203电池室放电电池数据表.xlsx,DC7,咸阳秦都西咸数据中心1号楼D203电力电池机房,7#开关电源蓄电池组,2,0,0.6107027107367291,0.0
1-D303电池室放电电池数据表.xlsx,DC4,咸阳秦都西咸数据中心1号楼D303电力电池机房,4#开关电源蓄电池组,2,0,0.5930054787754377,0.0
1-D303电池室放电电池数据表.xlsx,DC6,咸阳秦都西咸数据中心1号楼D303电力电池机房,6#开关电源蓄电池组,2,0,0.5842270620371504,0.0
1-J301电池室放电电池数据表.xlsx,DC14,咸阳秦都西咸数据中心1号楼J301电力电池机房,14#开关电源蓄电池组,2,0,0.5759416831849171,0.0
1-J301电池室放电电池数据表.xlsx,DC7,咸阳秦都西咸数据中心1号楼J301电力电池机房,07#开关电源蓄电池组,2,0,0.5599072577689085,0.0
